fecha,home,away,prob_home,confianza,bucket,pick_home,resultado_home,acerto,year
2026-04-01,Toronto Blue Jays,Colorado Rockies,0.6354,63.5,60-65,1,0,0,2026
2026-04-01,St. Louis Cardinals,New York Mets,0.4468,55.3,55-60,0,1,0,2026
2026-04-01,Seattle Mariners,New York Yankees,0.3992,60.1,60-65,0,0,1,2026
2026-04-01,San Diego Padres,San Francisco Giants,0.7294,72.9,70-75,1,1,1,2026
2026-04-01,Philadelphia Phillies,Washington Nationals,0.5291,52.9,50-55,1,1,1,2026
2026-04-01,Milwaukee Brewers,Tampa Bay Rays,0.6043,60.4,60-65,1,1,1,2026
2026-04-01,Miami Marlins,Chicago White Sox,0.8521,85.2,85-90,1,1,1,2026
2026-04-01,Los Angeles Dodgers,Cleveland Guardians,0.8456,84.6,80-85,1,0,0,2026
2026-04-01,Kansas City Royals,Minnesota Twins,0.6448,64.5,60-65,1,1,1,2026
2026-04-01,Houston Astros,Boston Red Sox,0.6809,68.1,65-70,1,1,1,2026
2026-04-01,Cincinnati Reds,Pittsburgh Pirates,0.2231,77.7,75-80,0,0,1,2026
2026-04-01,Chicago Cubs,Los Angeles Angels,0.8938,89.4,85-90,1,1,1,2026
2026-04-01,Baltimore Orioles,Texas Rangers,0.6238,62.4,60-65,1,1,1,2026
2026-04-01,Atlanta Braves,Oakland Athletics,0.7935,79.4,75-80,1,1,1,2026
2026-04-01,Arizona Diamondbacks,Detroit Tigers,0.5122,51.2,50-55,1,1,1,2026
2026-04-02,San Francisco Giants,New York Mets,0.7178,71.8,70-75,1,1,1,2026
2026-04-02,Kansas City Royals,Minnesota Twins,0.4905,50.9,50-55,0,0,1,2026
2026-04-02,Arizona Diamondbacks,Atlanta Braves,0.276,72.4,70-75,0,0,1,2026
2026-04-03,Washington Nationals,Los Angeles Dodgers,0.5192,51.9,50-55,1,0,0,2026
2026-04-03,Texas Rangers,Cincinnati Reds,0.6303,63.0,60-65,1,0,0,2026
2026-04-03,San Francisco Giants,New York Mets,0.1323,86.8,85-90,0,0,1,2026
2026-04-03,Pittsburgh Pirates,Baltimore Orioles,0.4152,58.5,55-60,0,1,0,2026
2026-04-03,New York Yankees,Miami Marlins,0.5673,56.7,55-60,1,1,1,2026
2026-04-03,Minnesota Twins,Tampa Bay Rays,0.2908,70.9,70-75,0,1,0,2026
2026-04-03,Los Angeles Angels,Seattle Mariners,0.5524,55.2,55-60,1,0,0,2026
2026-04-03,Detroit Tigers,St. Louis Cardinals,0.483,51.7,50-55,0,1,0,2026
2026-04-03,Colorado Rockies,Philadelphia Phillies,0.302,69.8,65-70,0,0,1,2026
2026-04-03,Cleveland Guardians,Chicago Cubs,0.4512,54.9,50-55,0,1,0,2026
2026-04-03,Chicago White Sox,Toronto Blue Jays,0.3956,60.4,60-65,0,0,1,2026
2026-04-03,Boston Red Sox,San Diego Padres,0.5808,58.1,55-60,1,1,1,2026
2026-04-03,Oakland Athletics,Houston Astros,0.5341,53.4,50-55,1,1,1,2026
2026-04-03,Arizona Diamondbacks,Atlanta Braves,0.4666,53.3,50-55,0,0,1,2026
2026-04-04,Washington Nationals,Los Angeles Dodgers,0.5909,59.1,55-60,1,0,0,2026
2026-04-04,Texas Rangers,Cincinnati Reds,0.478,52.2,50-55,0,0,1,2026
2026-04-04,Pittsburgh Pirates,Baltimore Orioles,0.4497,55.0,55-60,0,1,0,2026
2026-04-04,New York Yankees,Miami Marlins,0.3737,62.6,60-65,0,1,0,2026
2026-04-04,Minnesota Twins,Tampa Bay Rays,0.1784,82.2,80-85,0,0,1,2026
2026-04-04,Kansas City Royals,Milwaukee Brewers,0.0755,92.4,90-95,0,0,1,2026
2026-04-04,Detroit Tigers,St. Louis Cardinals,0.7412,74.1,70-75,1,1,1,2026
2026-04-04,Colorado Rockies,Philadelphia Phillies,0.2104,79.0,75-80,0,0,1,2026
2026-04-04,Chicago White Sox,Toronto Blue Jays,0.7089,70.9,70-75,1,1,1,2026
2026-04-04,Boston Red Sox,San Diego Padres,0.4923,50.8,50-55,0,0,1,2026
2026-04-04,Oakland Athletics,Houston Astros,0.1316,86.8,85-90,0,0,1,2026
2026-04-04,Arizona Diamondbacks,Atlanta Braves,0.2373,76.3,75-80,0,1,0,2026
2026-04-05,Washington Nationals,Los Angeles Dodgers,0.8207,82.1,80-85,1,0,0,2026
2026-04-05,Texas Rangers,Cincinnati Reds,0.7759,77.6,75-80,1,0,0,2026
2026-04-05,San Francisco Giants,New York Mets,0.2683,73.2,70-75,0,0,1,2026
2026-04-05,Pittsburgh Pirates,Baltimore Orioles,0.8211,82.1,80-85,1,1,1,2026
2026-04-05,New York Yankees,Miami Marlins,0.7014,70.1,70-75,1,0,0,2026
2026-04-05,Minnesota Twins,Tampa Bay Rays,0.262,73.8,70-75,0,0,1,2026
2026-04-05,Los Angeles Angels,Seattle Mariners,0.191,80.9,80-85,0,1,0,2026
2026-04-05,Kansas City Royals,Milwaukee Brewers,0.3316,66.8,65-70,0,0,1,2026
2026-04-05,Detroit Tigers,St. Louis Cardinals,0.4069,59.3,55-60,0,0,1,2026
2026-04-05,Colorado Rockies,Philadelphia Phillies,0.5786,57.9,55-60,1,1,1,2026
2026-04-05,Cleveland Guardians,Chicago Cubs,0.7288,72.9,70-75,1,0,0,2026
2026-04-05,Chicago White Sox,Toronto Blue Jays,0.8194,81.9,80-85,1,1,1,2026
2026-04-05,Boston Red Sox,San Diego Padres,0.6155,61.6,60-65,1,0,0,2026
2026-04-05,Oakland Athletics,Houston Astros,0.5701,57.0,55-60,1,1,1,2026
2026-04-05,Arizona Diamondbacks,Atlanta Braves,0.5364,53.6,50-55,1,1,1,2026
2026-04-06,Washington Nationals,St. Louis Cardinals,0.7673,76.7,75-80,1,1,1,2026
2026-04-06,Toronto Blue Jays,Los Angeles Dodgers,0.3236,67.6,65-70,0,0,1,2026
2026-04-06,Texas Rangers,Seattle Mariners,0.5668,56.7,55-60,1,1,1,2026
2026-04-06,Tampa Bay Rays,Chicago Cubs,0.6837,68.4,65-70,1,1,1,2026
2026-04-06,San Francisco Giants,Philadelphia Phillies,0.5207,52.1,50-55,1,0,0,2026
2026-04-06,Pittsburgh Pirates,San Diego Padres,0.4764,52.4,50-55,0,0,1,2026
2026-04-06,Minnesota Twins,Detroit Tigers,0.47,53.0,50-55,0,1,0,2026
2026-04-06,Miami Marlins,Cincinnati Reds,0.5248,52.5,50-55,1,0,0,2026
2026-04-06,Los Angeles Angels,Atlanta Braves,0.4916,50.8,50-55,0,1,0,2026
2026-04-06,Colorado Rockies,Houston Astros,0.1549,84.5,80-85,0,1,0,2026
2026-04-06,Cleveland Guardians,Kansas City Royals,0.265,73.5,70-75,0,0,1,2026
